Epoch 29 | Time: 187.9s | MSE Loss: 0.2018 | Acc (±15°): 55.28% | LR: 0.000739
Epoch 30 | Time: 187.9s | MSE Loss: 0.2030 | Acc (±15°): 54.67% | LR: 0.000730
Epoch 31 | Time: 186.2s | MSE Loss: 0.2027 | Acc (±15°): 55.38% | LR: 0.000721
Epoch 32 | Time: 184.7s | MSE Loss: 0.2007 | Acc (±15°): 55.30% | LR: 0.000712
Epoch 33 | Time: 187.7s | MSE Loss: 0.1904 | Acc (±15°): 56.43% | LR: 0.000703
Epoch 34 | Time: 187.7s | MSE Loss: 0.1953 | Acc (±15°): 55.48% | LR: 0.000694
Epoch 35 | Time: 188.3s | MSE Loss: 0.2033 | Acc (±15°): 55.40% | LR: 0.000685
Epoch 36 | Time: 186.2s | MSE Loss: 0.1987 | Acc (±15°): 56.48% | LR: 0.000676
Epoch 37 | Time: 186.1s | MSE Loss: 0.1961 | Acc (±15°): 56.87% | LR: 0.000667
Epoch 38 | Time: 186.6s | MSE Loss: 0.1837 | Acc (±15°): 58.02% | LR: 0.000658
Epoch 39 | Time: 186.6s | MSE Loss: 0.1764 | Acc (±15°): 57.52% | LR: 0.000649
Epoch 40 | Time: 189.6s | MSE Loss: 0.2125 | Acc (±15°): 55.41% | LR: 0.000640
Epoch 41 | Time: 186.8s | MSE Loss: 0.1824 | Acc (±15°): 56.93% | LR: 0.000631
Epoch 42 | Time: 187.6s | MSE Loss: 0.1840 | Acc (±15°): 57.59% | LR: 0.000622
Epoch 43 | Time: 187.2s | MSE Loss: 0.1894 | Acc (±15°): 57.69% | LR: 0.000613
Epoch 44 | Time: 187.2s | MSE Loss: 0.2462 | Acc (±15°): 49.29% | LR: 0.000604
Epoch 45 | Time: 186.9s | MSE Loss: 0.2099 | Acc (±15°): 53.59% | LR: 0.000595
Epoch 46 | Time: 186.6s | MSE Loss: 0.1817 | Acc (±15°): 57.67% | LR: 0.000586
Epoch 47 | Time: 188.9s | MSE Loss: 0.1801 | Acc (±15°): 58.09% | LR: 0.000577
Epoch 48 | Time: 193.5s | MSE Loss: 0.1653 | Acc (±15°): 59.08% | LR: 0.000568
Epoch 49 | Time: 187.0s | MSE Loss: 0.1761 | Acc (±15°): 59.13% | LR: 0.000559
Epoch 50 | Time: 181.9s | MSE Loss: 0.1750 | Acc (±15°): 59.10% | LR: 0.000550
Epoch 51 | Time: 185.8s | MSE Loss: 0.1715 | Acc (±15°): 60.20% | LR: 0.000541
Epoch 52 | Time: 187.3s | MSE Loss: 0.1615 | Acc (±15°): 60.95% | LR: 0.000532
Epoch 53 | Time: 187.2s | MSE Loss: 0.1728 | Acc (±15°): 59.88% | LR: 0.000523
Epoch 54 | Time: 182.8s | MSE Loss: 0.1756 | Acc (±15°): 59.79% | LR: 0.000514
Epoch 55 | Time: 186.7s | MSE Loss: 0.1701 | Acc (±15°): 59.08% | LR: 0.000505
Epoch 56 | Time: 186.0s | MSE Loss: 0.1751 | Acc (±15°): 59.32% | LR: 0.000496
Epoch 57 | Time: 179.5s | MSE Loss: 0.1623 | Acc (±15°): 60.45% | LR: 0.000487
Epoch 58 | Time: 179.3s | MSE Loss: 0.1713 | Acc (±15°): 60.03% | LR: 0.000478
Epoch 59 | Time: 178.1s | MSE Loss: 0.1801 | Acc (±15°): 58.52% | LR: 0.000469
Epoch 60 | Time: 183.7s | MSE Loss: 0.1843 | Acc (±15°): 60.20% | LR: 0.000460
Epoch 61 | Time: 178.2s | MSE Loss: 0.1640 | Acc (±15°): 60.84% | LR: 0.000451
Epoch 62 | Time: 183.5s | MSE Loss: 0.1644 | Acc (±15°): 60.52% | LR: 0.000442
Epoch 63 | Time: 182.5s | MSE Loss: 0.1720 | Acc (±15°): 59.82% | LR: 0.000433
Epoch 64 | Time: 184.0s | MSE Loss: 0.1632 | Acc (±15°): 61.19% | LR: 0.000424
Epoch 65 | Time: 178.4s | MSE Loss: 0.2341 | Acc (±15°): 51.25% | LR: 0.000415
Epoch 66 | Time: 185.1s | MSE Loss: 0.2036 | Acc (±15°): 55.94% | LR: 0.000406
Epoch 67 | Time: 177.3s | MSE Loss: 0.2065 | Acc (±15°): 55.30% | LR: 0.000397
Epoch 68 | Time: 177.5s | MSE Loss: 0.1984 | Acc (±15°): 56.38% | LR: 0.000388
Epoch 69 | Time: 177.7s | MSE Loss: 0.2003 | Acc (±15°): 56.27% | LR: 0.000379
Epoch 70 | Time: 182.7s | MSE Loss: 0.1811 | Acc (±15°): 58.57% | LR: 0.000370
Epoch 71 | Time: 177.8s | MSE Loss: 0.1774 | Acc (±15°): 57.98% | LR: 0.000361
Epoch 72 | Time: 183.1s | MSE Loss: 0.1809 | Acc (±15°): 58.03% | LR: 0.000352
Epoch 73 | Time: 183.6s | MSE Loss: 0.1733 | Acc (±15°): 59.74% | LR: 0.000343
Epoch 74 | Time: 182.9s | MSE Loss: 0.1643 | Acc (±15°): 60.20% | LR: 0.000334
Epoch 75 | Time: 179.1s | MSE Loss: 0.1670 | Acc (±15°): 60.49% | LR: 0.000325
Epoch 76 | Time: 182.4s | MSE Loss: 0.2378 | Acc (±15°): 52.88% | LR: 0.000316
Epoch 77 | Time: 176.2s | MSE Loss: 0.2423 | Acc (±15°): 50.20% | LR: 0.000307
Epoch 78 | Time: 183.0s | MSE Loss: 0.1846 | Acc (±15°): 58.31% | LR: 0.000298
Epoch 79 | Time: 174.7s | MSE Loss: 0.1705 | Acc (±15°): 59.68% | LR: 0.000289
Epoch 80 | Time: 175.5s | MSE Loss: 0.1648 | Acc (±15°): 60.22% | LR: 0.000280
Epoch 81 | Time: 180.0s | MSE Loss: 0.1604 | Acc (±15°): 61.12% | LR: 0.000271
Epoch 82 | Time: 176.4s | MSE Loss: 0.1688 | Acc (±15°): 60.91% | LR: 0.000262
Epoch 83 | Time: 180.4s | MSE Loss: 0.1655 | Acc (±15°): 60.70% | LR: 0.000253
Epoch 84 | Time: 181.5s | MSE Loss: 0.1601 | Acc (±15°): 61.49% | LR: 0.000244
Epoch 85 | Time: 183.8s | MSE Loss: 0.1541 | Acc (±15°): 61.67% | LR: 0.000235
Epoch 86 | Time: 176.9s | MSE Loss: 0.1613 | Acc (±15°): 60.61% | LR: 0.000226
Epoch 87 | Time: 176.2s | MSE Loss: 0.1560 | Acc (±15°): 61.31% | LR: 0.000217
Epoch 88 | Time: 177.3s | MSE Loss: 0.1652 | Acc (±15°): 61.05% | LR: 0.000208
Epoch 89 | Time: 183.5s | MSE Loss: 0.1581 | Acc (±15°): 61.70% | LR: 0.000199
Epoch 90 | Time: 185.7s | MSE Loss: 0.1620 | Acc (±15°): 61.44% | LR: 0.000190
Epoch 91 | Time: 177.5s | MSE Loss: 0.1668 | Acc (±15°): 60.84% | LR: 0.000181
Epoch 92 | Time: 177.5s | MSE Loss: 0.1573 | Acc (±15°): 61.54% | LR: 0.000172
Epoch 93 | Time: 182.6s | MSE Loss: 0.1586 | Acc (±15°): 61.60% | LR: 0.000163
Epoch 94 | Time: 175.9s | MSE Loss: 0.1794 | Acc (±15°): 58.12% | LR: 0.000154
Epoch 95 | Time: 178.3s | MSE Loss: 0.1661 | Acc (±15°): 60.37% | LR: 0.000145
Epoch 96 | Time: 182.2s | MSE Loss: 0.1626 | Acc (±15°): 61.73% | LR: 0.000136
Epoch 97 | Time: 176.5s | MSE Loss: 0.1987 | Acc (±15°): 58.35% | LR: 0.000127
Epoch 98 | Time: 178.0s | MSE Loss: 0.1580 | Acc (±15°): 61.92% | LR: 0.000118
Epoch 99 | Time: 182.5s | MSE Loss: 0.1516 | Acc (±15°): 62.57% | LR: 0.000109
