Epoch 59 | Time: 144.5s | MSE Loss: 0.1905 | Acc (±15°): 60.14% | LR: 0.000892
Epoch 60 | Time: 145.7s | MSE Loss: 0.2019 | Acc (±15°): 59.16% | LR: 0.000890
Epoch 61 | Time: 151.3s | MSE Loss: 0.1981 | Acc (±15°): 59.72% | LR: 0.000888
Epoch 62 | Time: 153.3s | MSE Loss: 0.1903 | Acc (±15°): 60.36% | LR: 0.000887
Epoch 63 | Time: 145.2s | MSE Loss: 0.1928 | Acc (±15°): 60.23% | LR: 0.000885
Epoch 64 | Time: 145.9s | MSE Loss: 0.1900 | Acc (±15°): 60.49% | LR: 0.000883
Epoch 65 | Time: 146.1s | MSE Loss: 0.1891 | Acc (±15°): 60.91% | LR: 0.000881
Epoch 66 | Time: 144.2s | MSE Loss: 0.1927 | Acc (±15°): 59.56% | LR: 0.000879
Epoch 67 | Time: 151.1s | MSE Loss: 0.1898 | Acc (±15°): 60.31% | LR: 0.000878
Epoch 68 | Time: 153.6s | MSE Loss: 0.1941 | Acc (±15°): 59.80% | LR: 0.000876
Epoch 69 | Time: 147.3s | MSE Loss: 0.2209 | Acc (±15°): 55.80% | LR: 0.000874
Epoch 70 | Time: 144.3s | MSE Loss: 0.1995 | Acc (±15°): 58.94% | LR: 0.000872
Epoch 71 | Time: 147.1s | MSE Loss: 0.1993 | Acc (±15°): 59.79% | LR: 0.000870
Epoch 72 | Time: 148.6s | MSE Loss: 0.1952 | Acc (±15°): 60.03% | LR: 0.000869
Epoch 73 | Time: 150.1s | MSE Loss: 0.2113 | Acc (±15°): 57.61% | LR: 0.000867
Epoch 74 | Time: 155.6s | MSE Loss: 0.2066 | Acc (±15°): 58.20% | LR: 0.000865
Epoch 75 | Time: 150.6s | MSE Loss: 0.2107 | Acc (±15°): 58.23% | LR: 0.000863
Epoch 76 | Time: 146.5s | MSE Loss: 0.2054 | Acc (±15°): 58.56% | LR: 0.000861
Epoch 77 | Time: 148.6s | MSE Loss: 0.1969 | Acc (±15°): 59.75% | LR: 0.000860
Epoch 78 | Time: 147.8s | MSE Loss: 0.1916 | Acc (±15°): 60.62% | LR: 0.000858
Epoch 79 | Time: 145.8s | MSE Loss: 0.1952 | Acc (±15°): 59.51% | LR: 0.000856
Epoch 80 | Time: 154.1s | MSE Loss: 0.1962 | Acc (±15°): 59.21% | LR: 0.000854
Epoch 81 | Time: 151.8s | MSE Loss: 0.1929 | Acc (±15°): 59.83% | LR: 0.000852
Epoch 82 | Time: 145.0s | MSE Loss: 0.1938 | Acc (±15°): 59.96% | LR: 0.000851
Epoch 83 | Time: 145.9s | MSE Loss: 0.2108 | Acc (±15°): 58.00% | LR: 0.000849
Epoch 84 | Time: 144.8s | MSE Loss: 0.1894 | Acc (±15°): 60.41% | LR: 0.000847
Epoch 85 | Time: 152.1s | MSE Loss: 0.1871 | Acc (±15°): 60.69% | LR: 0.000845
Epoch 86 | Time: 156.2s | MSE Loss: 0.1952 | Acc (±15°): 59.68% | LR: 0.000843
Epoch 87 | Time: 159.3s | MSE Loss: 0.1987 | Acc (±15°): 59.40% | LR: 0.000842
Epoch 88 | Time: 146.5s | MSE Loss: 0.1886 | Acc (±15°): 60.03% | LR: 0.000840
Epoch 89 | Time: 145.2s | MSE Loss: 0.1995 | Acc (±15°): 58.28% | LR: 0.000838
Epoch 90 | Time: 144.2s | MSE Loss: 0.1978 | Acc (±15°): 59.75% | LR: 0.000836
Epoch 91 | Time: 148.5s | MSE Loss: 0.1912 | Acc (±15°): 60.28% | LR: 0.000834
Epoch 92 | Time: 156.3s | MSE Loss: 0.1898 | Acc (±15°): 60.82% | LR: 0.000833
Epoch 93 | Time: 151.6s | MSE Loss: 0.1911 | Acc (±15°): 60.41% | LR: 0.000831
Epoch 94 | Time: 144.4s | MSE Loss: 0.1813 | Acc (±15°): 61.62% | LR: 0.000829
Epoch 95 | Time: 143.6s | MSE Loss: 0.1841 | Acc (±15°): 61.37% | LR: 0.000827
Epoch 96 | Time: 145.3s | MSE Loss: 0.1852 | Acc (±15°): 61.03% | LR: 0.000825
Epoch 97 | Time: 143.1s | MSE Loss: 0.1904 | Acc (±15°): 60.64% | LR: 0.000824
Epoch 98 | Time: 149.3s | MSE Loss: 0.1877 | Acc (±15°): 60.63% | LR: 0.000822
Epoch 99 | Time: 146.4s | MSE Loss: 0.1861 | Acc (±15°): 61.35% | LR: 0.000820
Epoch 100 | Time: 143.1s | MSE Loss: 0.1924 | Acc (±15°): 59.30% | LR: 0.000818
Epoch 101 | Time: 144.3s | MSE Loss: 0.1818 | Acc (±15°): 61.86% | LR: 0.000816
Epoch 102 | Time: 143.6s | MSE Loss: 0.1794 | Acc (±15°): 61.68% | LR: 0.000815
Epoch 103 | Time: 148.8s | MSE Loss: 0.1888 | Acc (±15°): 60.78% | LR: 0.000813
Epoch 104 | Time: 149.0s | MSE Loss: 0.1858 | Acc (±15°): 60.92% | LR: 0.000811
Epoch 105 | Time: 143.1s | MSE Loss: 0.2580 | Acc (±15°): 49.34% | LR: 0.000809
Epoch 106 | Time: 144.3s | MSE Loss: 0.2209 | Acc (±15°): 54.93% | LR: 0.000807
