Epoch 0 | Time: 194.6s | MSE Loss: 0.1876 | Acc (±15°): 46.27% | LR: 0.001000
Epoch 1 | Time: 201.6s | MSE Loss: 0.1631 | Acc (±15°): 50.73% | LR: 0.000990
Epoch 2 | Time: 200.3s | MSE Loss: 0.1476 | Acc (±15°): 54.29% | LR: 0.000980
Epoch 3 | Time: 201.4s | MSE Loss: 0.1403 | Acc (±15°): 55.51% | LR: 0.000970
Epoch 4 | Time: 195.7s | MSE Loss: 0.1352 | Acc (±15°): 56.65% | LR: 0.000960
Epoch 5 | Time: 201.3s | MSE Loss: 0.1316 | Acc (±15°): 57.56% | LR: 0.000950
Epoch 6 | Time: 195.4s | MSE Loss: 0.1304 | Acc (±15°): 57.05% | LR: 0.000940
Epoch 7 | Time: 199.4s | MSE Loss: 0.1247 | Acc (±15°): 59.52% | LR: 0.000930
Epoch 8 | Time: 201.5s | MSE Loss: 0.1216 | Acc (±15°): 60.40% | LR: 0.000920
Epoch 9 | Time: 194.4s | MSE Loss: 0.1163 | Acc (±15°): 62.01% | LR: 0.000910
Epoch 10 | Time: 197.2s | MSE Loss: 0.1219 | Acc (±15°): 61.45% | LR: 0.000900
Epoch 11 | Time: 195.5s | MSE Loss: 0.1146 | Acc (±15°): 62.12% | LR: 0.000890
Epoch 12 | Time: 199.5s | MSE Loss: 0.1101 | Acc (±15°): 63.41% | LR: 0.000880
Epoch 13 | Time: 193.1s | MSE Loss: 0.1079 | Acc (±15°): 63.90% | LR: 0.000870
Epoch 14 | Time: 200.9s | MSE Loss: 0.1061 | Acc (±15°): 64.77% | LR: 0.000860
Epoch 15 | Time: 201.7s | MSE Loss: 0.1075 | Acc (±15°): 64.72% | LR: 0.000850
Epoch 16 | Time: 202.1s | MSE Loss: 0.1075 | Acc (±15°): 64.52% | LR: 0.000840
Epoch 17 | Time: 200.3s | MSE Loss: 0.1049 | Acc (±15°): 64.60% | LR: 0.000830
Epoch 18 | Time: 199.1s | MSE Loss: 0.1040 | Acc (±15°): 64.66% | LR: 0.000820
Epoch 19 | Time: 196.8s | MSE Loss: 0.1065 | Acc (±15°): 64.93% | LR: 0.000810
Epoch 20 | Time: 204.4s | MSE Loss: 0.0998 | Acc (±15°): 66.22% | LR: 0.000800
Epoch 21 | Time: 199.9s | MSE Loss: 0.0968 | Acc (±15°): 67.26% | LR: 0.000790
Epoch 22 | Time: 195.0s | MSE Loss: 0.0994 | Acc (±15°): 66.27% | LR: 0.000780
Epoch 23 | Time: 199.9s | MSE Loss: 0.0981 | Acc (±15°): 67.19% | LR: 0.000770
Epoch 24 | Time: 200.0s | MSE Loss: 0.0982 | Acc (±15°): 67.14% | LR: 0.000760
Epoch 25 | Time: 196.1s | MSE Loss: 0.0957 | Acc (±15°): 67.83% | LR: 0.000750
Epoch 26 | Time: 190.3s | MSE Loss: 0.0971 | Acc (±15°): 67.55% | LR: 0.000740
Epoch 27 | Time: 200.0s | MSE Loss: 0.0963 | Acc (±15°): 67.71% | LR: 0.000730
Epoch 28 | Time: 195.1s | MSE Loss: 0.0969 | Acc (±15°): 67.33% | LR: 0.000720
Epoch 29 | Time: 199.8s | MSE Loss: 0.0959 | Acc (±15°): 67.78% | LR: 0.000710
Epoch 30 | Time: 202.1s | MSE Loss: 0.0968 | Acc (±15°): 67.72% | LR: 0.000700
Epoch 31 | Time: 200.9s | MSE Loss: 0.0961 | Acc (±15°): 68.44% | LR: 0.000690
Epoch 32 | Time: 200.0s | MSE Loss: 0.0920 | Acc (±15°): 68.51% | LR: 0.000680
Epoch 33 | Time: 202.2s | MSE Loss: 0.0925 | Acc (±15°): 68.67% | LR: 0.000670
Epoch 34 | Time: 202.7s | MSE Loss: 0.0897 | Acc (±15°): 69.51% | LR: 0.000660
Epoch 35 | Time: 200.5s | MSE Loss: 0.0920 | Acc (±15°): 68.58% | LR: 0.000650
Epoch 36 | Time: 202.8s | MSE Loss: 0.0928 | Acc (±15°): 68.51% | LR: 0.000640
Epoch 37 | Time: 202.9s | MSE Loss: 0.0911 | Acc (±15°): 69.50% | LR: 0.000630
Epoch 38 | Time: 201.7s | MSE Loss: 0.0886 | Acc (±15°): 70.51% | LR: 0.000620
