Epoch 555 | Time: 26.5s | MSE Loss: 0.1275 | Acc (±15°): 72.56% | LR: 0.000389
Epoch 556 | Time: 33.0s | MSE Loss: 0.1244 | Acc (±15°): 73.42% | LR: 0.000389
Epoch 557 | Time: 37.3s | MSE Loss: 0.1260 | Acc (±15°): 73.29% | LR: 0.000388
Epoch 558 | Time: 26.7s | MSE Loss: 0.1212 | Acc (±15°): 74.05% | LR: 0.000388
Epoch 559 | Time: 27.8s | MSE Loss: 0.1232 | Acc (±15°): 72.86% | LR: 0.000388
Epoch 560 | Time: 26.3s | MSE Loss: 0.1251 | Acc (±15°): 72.92% | LR: 0.000388
Epoch 561 | Time: 28.7s | MSE Loss: 0.1221 | Acc (±15°): 73.47% | LR: 0.000388
Epoch 562 | Time: 37.2s | MSE Loss: 0.1192 | Acc (±15°): 73.82% | LR: 0.000387
Epoch 563 | Time: 30.8s | MSE Loss: 0.1247 | Acc (±15°): 73.33% | LR: 0.000387
Epoch 564 | Time: 27.2s | MSE Loss: 0.1260 | Acc (±15°): 72.77% | LR: 0.000387
Epoch 565 | Time: 26.4s | MSE Loss: 0.1188 | Acc (±15°): 73.80% | LR: 0.000387
Epoch 566 | Time: 29.9s | MSE Loss: 0.1419 | Acc (±15°): 71.19% | LR: 0.000387
Epoch 567 | Time: 28.2s | MSE Loss: 0.1332 | Acc (±15°): 72.19% | LR: 0.000386
Epoch 568 | Time: 32.1s | MSE Loss: 0.1239 | Acc (±15°): 73.22% | LR: 0.000386
Epoch 569 | Time: 32.4s | MSE Loss: 0.1234 | Acc (±15°): 73.10% | LR: 0.000386
Epoch 570 | Time: 26.4s | MSE Loss: 0.1242 | Acc (±15°): 73.51% | LR: 0.000386
Epoch 571 | Time: 30.2s | MSE Loss: 0.1216 | Acc (±15°): 73.46% | LR: 0.000386
Epoch 572 | Time: 27.4s | MSE Loss: 0.1270 | Acc (±15°): 73.18% | LR: 0.000385
Epoch 573 | Time: 26.3s | MSE Loss: 0.1308 | Acc (±15°): 72.52% | LR: 0.000385
Epoch 574 | Time: 33.6s | MSE Loss: 0.1269 | Acc (±15°): 72.92% | LR: 0.000385
Epoch 575 | Time: 36.4s | MSE Loss: 0.1215 | Acc (±15°): 73.11% | LR: 0.000385
Epoch 576 | Time: 27.0s | MSE Loss: 0.1243 | Acc (±15°): 73.50% | LR: 0.000385
Epoch 577 | Time: 26.9s | MSE Loss: 0.1305 | Acc (±15°): 72.67% | LR: 0.000384
Epoch 578 | Time: 26.4s | MSE Loss: 0.1254 | Acc (±15°): 73.01% | LR: 0.000384
Epoch 579 | Time: 28.1s | MSE Loss: 0.1198 | Acc (±15°): 73.51% | LR: 0.000384
Epoch 580 | Time: 39.1s | MSE Loss: 0.1323 | Acc (±15°): 71.99% | LR: 0.000384
Epoch 581 | Time: 29.0s | MSE Loss: 0.1247 | Acc (±15°): 73.67% | LR: 0.000384
Epoch 582 | Time: 27.2s | MSE Loss: 0.1177 | Acc (±15°): 74.25% | LR: 0.000383
Epoch 583 | Time: 26.7s | MSE Loss: 0.1214 | Acc (±15°): 73.58% | LR: 0.000383
Epoch 584 | Time: 30.9s | MSE Loss: 0.1304 | Acc (±15°): 71.94% | LR: 0.000383
Epoch 585 | Time: 27.6s | MSE Loss: 0.1281 | Acc (±15°): 72.74% | LR: 0.000383
Epoch 586 | Time: 32.2s | MSE Loss: 0.1235 | Acc (±15°): 73.09% | LR: 0.000383
Epoch 587 | Time: 32.0s | MSE Loss: 0.1261 | Acc (±15°): 72.25% | LR: 0.000382
