Epoch 0 | Time: 142.8s | MSE Loss: 0.1696 | Acc (±15°): 64.09% | LR: 0.000998
Epoch 1 | Time: 146.4s | MSE Loss: 0.1654 | Acc (±15°): 64.37% | LR: 0.000996
Epoch 2 | Time: 149.8s | MSE Loss: 0.1699 | Acc (±15°): 63.78% | LR: 0.000995
Epoch 3 | Time: 147.8s | MSE Loss: 0.1691 | Acc (±15°): 64.26% | LR: 0.000993
Epoch 4 | Time: 144.2s | MSE Loss: 0.1748 | Acc (±15°): 63.23% | LR: 0.000991
Epoch 5 | Time: 143.8s | MSE Loss: 0.1719 | Acc (±15°): 63.94% | LR: 0.000989
Epoch 6 | Time: 143.6s | MSE Loss: 0.1703 | Acc (±15°): 64.23% | LR: 0.000987
Epoch 7 | Time: 148.4s | MSE Loss: 0.1698 | Acc (±15°): 63.94% | LR: 0.000986
Epoch 8 | Time: 149.9s | MSE Loss: 0.1721 | Acc (±15°): 63.48% | LR: 0.000984
Epoch 9 | Time: 144.7s | MSE Loss: 0.1690 | Acc (±15°): 64.15% | LR: 0.000982
Epoch 10 | Time: 144.3s | MSE Loss: 0.1722 | Acc (±15°): 63.85% | LR: 0.000980
Epoch 0 | Time: 183.4s | MSE Loss: 0.3040 | Acc (±15°): 51.04% | LR: 0.000998
Epoch 1 | Time: 183.4s | MSE Loss: 0.2994 | Acc (±15°): 50.87% | LR: 0.000996
Epoch 2 | Time: 185.0s | MSE Loss: 0.2990 | Acc (±15°): 50.80% | LR: 0.000995
Epoch 0 | Time: 187.8s | MSE Loss: 0.2453 | Acc (±15°): 56.28% | LR: 0.000998
Epoch 0 | Time: 185.1s | MSE Loss: 0.2262 | Acc (±15°): 58.62% | LR: 0.000998
Epoch 1 | Time: 186.0s | MSE Loss: 0.2104 | Acc (±15°): 60.18% | LR: 0.000996
Epoch 2 | Time: 184.7s | MSE Loss: 0.2206 | Acc (±15°): 59.26% | LR: 0.000995
Epoch 3 | Time: 184.2s | MSE Loss: 0.2130 | Acc (±15°): 60.03% | LR: 0.000993
Epoch 4 | Time: 185.7s | MSE Loss: 0.2292 | Acc (±15°): 57.53% | LR: 0.000991
Epoch 5 | Time: 183.6s | MSE Loss: 0.2277 | Acc (±15°): 57.48% | LR: 0.000989
Epoch 6 | Time: 184.9s | MSE Loss: 0.2185 | Acc (±15°): 59.79% | LR: 0.000987
Epoch 7 | Time: 184.0s | MSE Loss: 0.2171 | Acc (±15°): 59.78% | LR: 0.000986
Epoch 8 | Time: 184.5s | MSE Loss: 0.2124 | Acc (±15°): 60.07% | LR: 0.000984
Epoch 9 | Time: 185.9s | MSE Loss: 0.2127 | Acc (±15°): 60.26% | LR: 0.000982
Epoch 10 | Time: 184.7s | MSE Loss: 0.2144 | Acc (±15°): 60.07% | LR: 0.000980
Epoch 11 | Time: 184.9s | MSE Loss: 0.2129 | Acc (±15°): 60.17% | LR: 0.000978
Epoch 12 | Time: 184.9s | MSE Loss: 0.2122 | Acc (±15°): 60.23% | LR: 0.000977
Epoch 13 | Time: 190.3s | MSE Loss: 0.2169 | Acc (±15°): 59.32% | LR: 0.000975
Epoch 14 | Time: 190.5s | MSE Loss: 0.2087 | Acc (±15°): 59.89% | LR: 0.000973
Epoch 15 | Time: 190.0s | MSE Loss: 0.2083 | Acc (±15°): 60.31% | LR: 0.000971
Epoch 16 | Time: 190.2s | MSE Loss: 0.2081 | Acc (±15°): 60.41% | LR: 0.000969
Epoch 17 | Time: 183.7s | MSE Loss: 0.2172 | Acc (±15°): 59.86% | LR: 0.000968
Epoch 18 | Time: 185.9s | MSE Loss: 0.2187 | Acc (±15°): 59.32% | LR: 0.000966
Epoch 19 | Time: 218.2s | MSE Loss: 0.2146 | Acc (±15°): 59.58% | LR: 0.000964
Epoch 20 | Time: 196.5s | MSE Loss: 0.2194 | Acc (±15°): 58.96% | LR: 0.000962
Epoch 21 | Time: 198.3s | MSE Loss: 0.2095 | Acc (±15°): 60.21% | LR: 0.000960
Epoch 22 | Time: 197.9s | MSE Loss: 0.2118 | Acc (±15°): 59.95% | LR: 0.000959
Epoch 23 | Time: 197.5s | MSE Loss: 0.2077 | Acc (±15°): 60.40% | LR: 0.000957
Epoch 24 | Time: 199.1s | MSE Loss: 0.2111 | Acc (±15°): 59.46% | LR: 0.000955
Epoch 25 | Time: 201.4s | MSE Loss: 0.2114 | Acc (±15°): 60.07% | LR: 0.000953
Epoch 26 | Time: 201.6s | MSE Loss: 0.2043 | Acc (±15°): 60.94% | LR: 0.000951
Epoch 27 | Time: 198.3s | MSE Loss: 0.2067 | Acc (±15°): 60.69% | LR: 0.000950
Epoch 28 | Time: 197.6s | MSE Loss: 0.2194 | Acc (±15°): 58.77% | LR: 0.000948
Epoch 29 | Time: 197.4s | MSE Loss: 0.2154 | Acc (±15°): 59.09% | LR: 0.000946
Epoch 30 | Time: 194.1s | MSE Loss: 0.2218 | Acc (±15°): 58.24% | LR: 0.000944
Epoch 31 | Time: 193.2s | MSE Loss: 0.2107 | Acc (±15°): 59.73% | LR: 0.000942
Epoch 32 | Time: 188.5s | MSE Loss: 0.2209 | Acc (±15°): 58.93% | LR: 0.000941
Epoch 33 | Time: 184.4s | MSE Loss: 0.2238 | Acc (±15°): 58.11% | LR: 0.000939
Epoch 34 | Time: 185.7s | MSE Loss: 0.2260 | Acc (±15°): 55.25% | LR: 0.000937
Epoch 35 | Time: 184.2s | MSE Loss: 0.2168 | Acc (±15°): 58.48% | LR: 0.000935
Epoch 36 | Time: 184.7s | MSE Loss: 0.2128 | Acc (±15°): 59.12% | LR: 0.000933
Epoch 37 | Time: 184.0s | MSE Loss: 0.2141 | Acc (±15°): 58.88% | LR: 0.000932
Epoch 38 | Time: 183.8s | MSE Loss: 0.2196 | Acc (±15°): 58.31% | LR: 0.000930
Epoch 39 | Time: 185.5s | MSE Loss: 0.2086 | Acc (±15°): 60.08% | LR: 0.000928
